cdmall-app  |
cdmall-app  |   at org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.createBean(AbstractAutowireCapableBeanFactory.java:522)
cdmall-app  |   at org.springframework.beans.factory.support.AbstractBeanFactory.lambda$doGetBean$0(AbstractBeanFactory.java:337)
cdmall-app  |   at org.springframework.beans.factory.support.DefaultSingletonBeanRegistry.getSingleton(DefaultSingletonBeanRegistry.java:234)
cdmall-app  |   at org.springframework.beans.factory.support.AbstractBeanFactory.doGetBean(AbstractBeanFactory.java:335)
cdmall-app  |   at org.springframework.beans.factory.support.AbstractBeanFactory.getBean(AbstractBeanFactory.java:200)
cdmall-app  |   at org.springframework.beans.factory.support.DefaultListableBeanFactory.preInstantiateSingletons(DefaultListableBeanFactory.java:975)
cdmall-app  |   at org.springframework.context.support.AbstractApplicationContext.finishBeanFactoryInitialization(AbstractApplicationContext.java:971)
cdmall-app  |   at org.springframework.context.support.AbstractApplicationContext.refresh(AbstractApplicationContext.java:625)
cdmall-app  |   at org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext.refresh(ServletWebServerApplicationContext.java:146)
cdmall-app  |   at org.springframework.boot.SpringApplication.refresh(SpringApplication.java:754)
cdmall-app  |   at org.springframework.boot.SpringApplication.refreshContext(SpringApplication.java:456)
cdmall-app  |   at org.springframework.boot.SpringApplication.run(SpringApplication.java:335)
cdmall-app  |   at org.springframework.boot.SpringApplication.run(SpringApplication.java:1363)
cdmall-app  |   at org.springframework.boot.SpringApplication.run(SpringApplication.java:1352)
cdmall-app  |   at com.demo.cdmall1.CdmallApplication.main(CdmallApplication.java:19)
cdmall-app  |   at java.base/jdk.internal.reflect.DirectMethodHandleAccessor.invoke(Unknown Source)
cdmall-app  |   at java.base/java.lang.reflect.Method.invoke(Unknown Source)
cdmall-app  |   at org.springframework.boot.loader.launch.Launcher.launch(Launcher.java:102)
cdmall-app  |   at org.springframework.boot.loader.launch.Launcher.launch(Launcher.java:64)
cdmall-app  |   at org.springframework.boot.loader.launch.JarLauncher.main(JarLauncher.java:40)
cdmall-app  | Caused by: org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'productRepository' defined in com.demo.cdmall1.domain.product.entity.ProductRepository defined in @EnableJpaRepositories declared on JpaRepositoriesRegistrar.EnableJpaRepositoriesConfiguration: Could not create query for public abstract java.util.List com.demo.cdmall1.domain.product.entity.ProductRepository.readCountofstarDesc(); Reason: Validation failed for query for method public abstract java.util.List com.demo.cdmall1.domain.product.entity.ProductRepository.readCountofstarDesc()
cdmall-app  |   at org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.initializeBean(AbstractAutowireCapableBeanFactory.java:1806)
cdmall-app  |   at org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.doCreateBean(AbstractAutowireCapableBeanFactory.java:600)
cdmall-app  |   at org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.createBean(AbstractAutowireCapableBeanFactory.java:522)
cdmall-app  |   at org.springframework.beans.factory.support.AbstractBeanFactory.lambda$doGetBean$0(AbstractBeanFactory.java:337)
cdmall-app  |   at org.springframework.beans.factory.support.DefaultSingletonBeanRegistry.getSingleton(DefaultSingletonBeanRegistry.java:234)
cdmall-app  |   at org.springframework.beans.factory.support.AbstractBeanFactory.doGetBean(AbstractBeanFactory.java:335)
cdmall-app  |   at org.springframework.beans.factory.support.AbstractBeanFactory.getBean(AbstractBeanFactory.java:200)
cdmall-app  |   at org.springframework.beans.factory.config.DependencyDescriptor.resolveCandidate(DependencyDescriptor.java:254)
cdmall-app  |   at org.springframework.beans.factory.support.DefaultListableBeanFactory.doResolveDependency(DefaultListableBeanFactory.java:1443)
cdmall-app  |   at org.springframework.beans.factory.support.DefaultListableBeanFactory.resolveDependency(DefaultListableBeanFactory.java:1353)
cdmall-app  |   at org.springframework.beans.factory.support.ConstructorResolver.resolveAutowiredArgument(ConstructorResolver.java:904)
cdmall-app  |   at org.springframework.beans.factory.support.ConstructorResolver.createArgumentArray(ConstructorResolver.java:782)
cdmall-app  |   ... 24 common frames omitted
cdmall-app  | Caused by: org.springframework.data.repository.query.QueryCreationException: Could not create query for public abstract java.util.List com.demo.cdmall1.domain.product.entity.ProductRepository.readCountofstarDesc(); Reason: Validation failed for query for method public abstract java.util.List com.demo.cdmall1.domain.product.entity.ProductRepository.readCountofstarDesc()
cdmall-app  |   at org.springframework.data.repository.query.QueryCreationException.create(QueryCreationException.java:101)
cdmall-app  |   at org.springframework.data.repository.core.support.QueryExecutorMethodInterceptor.lookupQuery(QueryExecutorMethodInterceptor.java:119)
cdmall-app  |   at org.springframework.data.repository.core.support.QueryExecutorMethodInterceptor.mapMethodsToQuery(QueryExecutorMethodInterceptor.java:103)
cdmall-app  |   at org.springframework.data.repository.core.support.QueryExecutorMethodInterceptor.lambda$new$0(QueryExecutorMethodInterceptor.java:92)
cdmall-app  |   at java.base/java.util.Optional.map(Unknown Source)
cdmall-app  |   at org.springframework.data.repository.core.support.QueryExecutorMethodInterceptor.<init>(QueryExecutorMethodInterceptor.java:92)
